log ID,log date,log title,field name,experiment ID,owner,category,revision date,equipment,seed,seeds/m2,kg/ha,rate,volume,area,time,length,count,weight,None type,material
822e30cb-19e0-4bde-9873-4a06034d2feb,2019-09-06T23:00:00+00:00,Drilling: DK ExStar in SAWYERS 1 CS715,,"2020/R/CS/715 - Oat plots, 2020/R/CS/715 - Oat surrounds",Chris Mackay,Planting,2022-06-07T16:21:50+00:00,Weaving Drill,2019 SAWYERS 1 CS715 DK Exstar (DK Exstar),60,,,,,,,,,,
1c22e213-b102-4890-8749-3ccc30e10a95,2019-08-08T23:00:00+00:00,Drilling: DK ExStar in LONG HOOS 6/7,LONG HOOS 6/7,,Tim Hall,Planting,2022-06-07T16:21:50+00:00,"Weaving Drill, JD6830",2019 LONG HOOS 6/7 DK Exstar (DK Exstar),50,,,,,,,,,,
8f39f516-893c-47e1-9217-a7348ae77767,2019-08-08T23:00:00+00:00,Drilling: DK ExStar in LONG HOOS 5,LONG HOOS 5,,Tim Hall,Planting,2022-06-07T16:21:50+00:00,Weaving Drill,2019 LONG HOOS 5 DK Exstar (DK Exstar),50,,,,,,,,,,
6bb43a07-70ac-4009-9f30-354fcf2ba26b,2019-08-08T23:00:00+00:00,Drilling: DK ExStar in GREAT HARPENDEN 2,GREAT HARPENDEN 2,,Chris Mackay,Planting,2022-06-07T16:21:50+00:00,Weaving Drill,2019 GREAT HARPENDEN 2 DK Exstar (DK Exstar),50,,,,,,,,,,
4c445e4c-2f85-4e4c-93d6-0fbf34a1283b,2019-08-11T23:00:00+00:00,Drilling: Barbados in GREAT FIELD 1/2,GREAT FIELD 1/2,,Richard Ostler,Planting,2022-06-07T16:21:50+00:00,Weaving Drill,2019 GREAT FIELD 1/2 Barbados (Barbados),70,,,,,,,,,,
75337b26-c281-49bc-93e6-3f126d5276fb,2019-08-14T23:00:00+00:00,Drilling: Barbados in WHITEHORSE 1,WHITEHORSE 1,,Chris Mackay,Planting,2022-06-07T16:21:50+00:00,Weaving Drill,2019 WHITEHORSE 1 Barbados (Barbados),70,,,,,,,,,,
d01b8915-0dc8-4ba4-a603-397dfb518aba,2019-08-18T23:00:00+00:00,Drilling: DK ExStar in GREAT FIELD 1/2,GREAT FIELD 1/2,,Chris Mackay,Planting,2022-06-07T16:21:50+00:00,Weaving Drill,2019 GREAT FIELD 1/2 DK Exstar (DK Exstar),50,,,,,,,,,,
31e79692-b881-4e47-9bd4-c74b4728f4e5,2019-08-18T23:00:00+00:00,Drilling: Barbados in FURZEFIELD,FURZEFIELD,,Richard Ostler,Planting,2022-06-07T16:21:50+00:00,Weaving Drill,2019 FURZEFIELD Barbados (Barbados),70,,,,,,,,,,
e45f66fe-29c0-4c80-a1e5-04d3c5bdd9e7,2019-08-15T23:00:00+00:00,Drilling: Barbados in WHITEHORSE 2,WHITEHORSE 2,,Chris Mackay,Planting,2022-06-07T16:21:50+00:00,Weaving Drill,2020/R/RAW/2027 2019 WHITEHORSE 2 Barbados (Barbados),70,,,,,,,,,,
870abd99-ad80-494e-bb9d-cb7858e475e5,2019-08-18T23:00:00+00:00,Drilling: Barbados in 2020/R/RAW/2025 WHITEHORSE 2,,2020/R/RAW/2025,Chris Mackay,Planting,2022-06-07T16:21:50+00:00,Weaving Drill,2020/R/RAW/2025 2019 WHITEHORSE 2 Barbados (Barbados),,,,,,,,,,,
2768aeb8-1f6b-4baf-b142-43352a22ff43,2019-08-18T23:00:00+00:00,Drilling: Barbados in WHITEHORSE 2,WHITEHORSE 2,,Chris Mackay,Planting,2022-06-07T16:21:50+00:00,Accord Combination Drill No. 4,2019 WHITEHORSE 2 Barbados (Barbados),70,,,,,,,,,,
5de4c143-1075-4c01-851e-ae08ac9f42b8,2019-08-19T23:00:00+00:00,Drilling: Barbados in LONG HOOS 5,LONG HOOS 5,,Chris Mackay,Planting,2022-06-07T16:21:50+00:00,Weaving Drill,2019 LONG HOOS 5 Barbados (Barbados),30,,,,,,,,,,
a1e1d846-4fcd-4f25-b99a-f998bb8c0122,2019-08-19T23:00:00+00:00,Drilling: Barbados in LONG HOOS 6/7,LONG HOOS 6/7,,Chris Mackay,Planting,2022-06-07T16:21:50+00:00,Weaving Drill,2019 LONG HOOS 6/7 Barbados (Barbados),30,,,,,,,,,,
b9407bd3-2807-465c-a97f-27d65befa65f,2019-08-19T23:00:00+00:00,Drilling: Barbados in GREAT HARPENDEN 2,GREAT HARPENDEN 2,,Chris Mackay,Planting,2022-06-07T16:21:50+00:00,Weaving Drill,2019 GREAT HARPENDEN 2 Barbados (Barbados),80,,,,,,,,,,
5de379a3-bdcb-4f2f-92fa-a5a5cf0f5ac3,2019-08-20T23:00:00+00:00,Drilling: Barbados in HOOSFIELD,,HOOS FIELD - direct drilled section 2020,Chris Mackay,Planting,2022-06-07T16:21:50+00:00,Weaving Drill,2019 HOOSFIELD Barbados (Barbados),80,,,,,,,,,,
822199c9-c8c5-44e3-a511-bdc6826c4a5c,2020-05-14T23:00:00+00:00,Drilling: Camelina in PASTURES,,2020/R/CM/2053,Chris Mackay,Planting,2022-06-30T07:32:54+00:00,"JD5070, Haldrup SB25 Plot Drill",2020 PASTURES Camelina (Camelina),,,,,,,,,,,
ee844dd7-5b16-4781-97d1-0bc54760929e,2020-05-14T23:00:00+00:00,Drilling: Camelina in PASTURES,PASTURES,,Chris Mackay,Planting,2022-06-30T07:32:54+00:00,"JD6830, Accord Combination Drill No. 4",2020 PASTURES Camelina (2) (Camelina),300,4.52,,,,,,,1.13 grams,,
0a44beba-aac7-4d9f-8b83-15a07ce4d325,2020-06-03T23:00:00+00:00,Drilling: Experiment in Fosters 4,,2020/R/RAS/2056,"Chris Mackay, Martin Gardner",Planting,2022-06-30T07:32:54+00:00,"JD5070, Haldrup SB25 Plot Drill",2020 Fosters 4 Experiment (Experiment),,,,,,,,,,,
9e49d778-561f-492f-8640-28700ae1a3df,2020-06-14T23:00:00+00:00,Drilling: Empress in RRES LSRE Site,RRES LSRE Site 2020,,Tim Hall,Planting,2022-06-30T07:32:54+00:00,"JD6830, Accord Combination Drill No. 4",2020 RRES LSRE Site Empress (Empress),650,51.0,,,,,,,,,
b0a5f947-ac2b-455c-88b2-b9c8df10f1e5,2020-06-14T23:00:00+00:00,Drilling: Vitaro in RRES LSRE Site,RRES LSRE Site 2020,,Tim Hall,Planting,2022-06-30T07:32:54+00:00,"JD6830, Accord Combination Drill No. 4",2020 RRES LSRE Site Vitaro (Vitaro),,11.0,,,,,,,,,
ffc05c27-cf76-4432-baa2-3ce3ccf363e8,2019-10-31T00:00:00+00:00,Drilling: Crusoe in FOSTERS,FOSTERS,2020/R/CS/738,Tim Hall,Planting,2022-06-07T16:21:50+00:00,"JD6830, Accord Combination Drill No. 4",2020 FOSTERS Crusoe (Crusoe),350,,,,,,,,,,
66fc51a6-2d7a-42a1-b606-3f6e43f5ca88,2020-03-28T00:00:00+00:00,Drilling: Elyann in Warren,Warren,,Christoph Russell,Planting,2022-06-07T16:21:50+00:00,"WES Accord 4m Tyne Drill, JD6620",2020 Warren Elyann (Elyann),136,,,,,,,,,,
2e5c1780-ec51-4ba1-a26b-4711461d9032,2019-10-02T23:00:00+00:00,Seeding: winter barley KWS Tower in HOOS FIELD - direct drilled section Commercial,,HOOS FIELD - direct drilled section 2020,Tim Hall,"Commercial, Planting, Excel upload",2022-06-07T16:21:50+00:00,"JD6830, Weaving Drill",Planting: KWS Tower  HOOS FIELD - direct drilled section Commercial (KWS Tower),350,,,,,,,,,,
b10065a3-4572-4847-8418-9d80d91ab767,2019-12-02T00:00:00+00:00,Seeding: winter wheat Siskin in WEBBS Commercial,WEBBS,,Tim Hall,"Commercial, Excel upload, Planting",2022-06-07T16:21:50+00:00,"JD6830, Accord Combination Drill No. 4",Planting: Siskin  WEBBS Commercial (Siskin),425,,,,,,,,,,
aeed0de3-757b-43c9-aaf8-11a6f22b6337,2019-12-03T00:00:00+00:00,Seeding: winter wheat Siskin in GREAT KNOTT 1 Commercial,GREAT KNOTT 1,,Tim Hall,"Commercial, Planting, Excel upload",2022-06-07T16:21:50+00:00,"JD6830, Accord Combination Drill No. 4",Planting: Siskin  GREAT KNOTT 1 Commercial (Siskin),425,,,,,,,,,,
b9da657b-c24f-4b9f-8a4d-58b2f303eed2,2019-12-04T00:00:00+00:00,Seeding: winter wheat Siskin in GEESCROFT Commercial,GEESCROFT,,Tim Hall,"Commercial, Planting, Excel upload",2022-06-07T16:21:50+00:00,"JD6830, Accord Combination Drill No. 4",Planting: Siskin  GEESCROFT Commercial (Siskin),425,,,,,,,,,,
